Sr. No.,Barcode,Brand,Product Name,Weight,Category,Retail Price,Photograhy,Shopify,Product Picture in Shopify,Categorization
1,4012625530530,Marmara,Ceylen Tea (earl grey),500g,Tea,4.49,Done,Done,Done,Done
2,4012625531148,Marmara,Ceylon Tea (Kardamom),500g,Tea,3.99,Done,Done,Done,Done
3,4012625531612,Marmara,Ceylon Tea (Gold),800g,Tea,8.49,Done,Done,Done,Done
4,4012625530516,Marmara,Ceylon Tea (Bergamot Kokulu),800g,Tea,8.49,Done,Done,Done,Done
5,4012625530554,Marmara,Ceylon Tea (Bergamot Kokulu),37.5g,Tea,1.99,Done,Done,Done,Done
6,4012625530639,Marmara,Ceylon Tea Classic Tea,37.5g,Tea,2.5,Done,Done,Done,Done
7,4012625530592,Marmara,Classic Ceylon Tea,800g,Tea,8.99,Done,Done,Done,Done
8,4260467593040,Dem Dem,Schwarzer Tea Flavoured Bergamotte,1000g,Tea,12.99,Done,Done,Done,Done
9,4260467593002,Dem Dem,Schwarzer Tea Plain,1000g,Tea,12.99,Done,Done,Done,Done
10,4032489012003,Sohbet,Sohbetin Tadi,500g,Tea,6.99,Done,Done,Done,Done
11,8690804027659,Suntat,Alice Ceylon Tea ,1000g,Tea,11.99,Done,Done,Done,Done
12,8690804027666,Suntat,Alice Ceylon Tea ,500g,Tea,6.49,Done,Done,Done,Done
13,8690804027758,Suntat,Alice Ceylon Tea ,250g,Tea,3.49,Done,Done,Done,Done
14,8690105000177,Caykur,Kamelya Cayi,1000g,Tea,6.99,Done,Done,Done,Done
15,8690105000184,Caykur,Kamelya Cayi,500g,Tea,3.89,Done,Done,Done,Done
16,8690105000115,Caykur,Rize turist cayi,1000g,Tea,6.99,Done,Done,Done,Done
17,8690105000122,Caykur,Rize turist cayi,500g,Tea,3.89,Done,Done,Done,Done
18,8690105004045,Caykur,Filiz cayi ,1000g,Tea,7.99,Done,Done,Done,Done
19,-,Caykur,Filiz cayi ,500g,Tea,3.79,Done,Done,Done,Done
20,4041954160569,Mevlevi,Ceylon Siyah Yaprak Cayi,1000g,Tea,9.99,Done,Done,Done,Done
21,4041954160576,Mevlevi,Ceylon Siyah Yaprak Cayi,500g,Tea,5.49,Done,Done,Done,Done
22,4041954160088,Mevlevi,Luxus Schwarzer Beuteltee,25 pkt,Tea,1.99,Done,Done,,
23,4021209000116,Mevlana,Goran-Tea,1000g,Tea,14.99,Done,Done,Done,Done
24,4791003164894,Mevlana,Goran-Tea,62.5g,Tea,2.49,Done,Done,Done,Done
25,4041954160057,Mesnevi,Lux Ceylon Siyah Yaprak Cayi,1000g,Tea,9.99,Done,Done,Done,Done
26,4041954160040,Mesnevi,Lux Ceylon Siyah Yaprak Cayi,500g,Tea,4.99,Done,Done,,
27,4012625530615,Harika,Ceylon Yaprak Cayi ,800g,Tea,6.99,Done,Done,,
28,8690719105374,Dogus,Karadeniz. Cayi,500g,Tea,3.99,Done,Done,,
29,8690105000382,Caykur,Organik Hemsin Cayi,400g,Tea,4.99,Done,Done,,
30,8680110570017,Caykur,Altinbas Classic Black Tea,500g,Tea,5.99,Done,Done,,
31,8680110570048,Suntat,Alice Schwarzer Tea,300g,Tea,3.99,Done,Done,,
32,8699580000047,Suntat,Karadeniz. Cayi Arhavi Tea,500g,Tea,4.99,Done,Done,,
33,8699580000146,Koza,Orange Powder Drink,50Pkt,Tea,7.9,Done,Done,Done,
34,8699432203183,Koza,Mint Lemon Powder Drink,50Pkt,Tea,7.9,Done,Done,Done,
35,8699432209567,Dogadan,Sage Herbal Tea,20 pkt,Tea,2.49,Done,Done,Done,Done
36,8699580000054,Dogadan,Lemon Fruit Tea,20 pkt,Tea,2.49,Done,Done,Done,Done
37,8699580000436,Dogadan,Chamomile Herbal Tea,20 pkt,Tea,2.49,Done,Done,,
38,8699580000450,Dogadan,Form Active,20 pkt,Tea,2.49,Done,Done,Done,Done
39,8699580000214,Dogadan,Rosehip Fruit Infusion,20 pkt,Tea,2.49,Done,Done,Done,Done
40,8699432212659,Dogadan,Fennel Mixed Herbal Tea,20 pkt,Tea,2.49,Done,Done,Done,Done
41,8699580003963,Dogadan,Green Tea,20 pkt,Tea,2.49,Done,Done,Done,Done
42,8699580001761,Dogadan,Mint Lemon Herbal Tea,20 pkt,Tea,2.49,Done,Done,Done,Done
43,8699432216381,Dogadan,Red Fruits Mixed Fruit Tea,20 pkt,Tea,2.49,Done,Done,Done,Done
44,8699580000115,Dogadan,Moroccan Mint with Cardamom,20 pkt,Tea,2.49,Done,Done,Done,Done
45,8699432209031,Dogadan,Echinacea Herbal Infusion,20 pkt,Tea,2.49,Done,Done,,
46,5000311511207,Dogadan,Green Tea with Jasmine,20 pkt,Tea,2.49,Done,Done,Done,Done
47,8690637819971,Dogadan,Form Green Tea Apple and Fig ,20 pkt,Tea,2.49,Done,Done,,
48,8690637891083,Dogadan,Apple Fruit Tea,20 pkt,Tea,2.49,Done,Done,Done,Done
49,8690637019463,Dogadan,Camomile and Honey,20 pkt,Tea,2.49,Done,Done,Done,Done
50,8690637992032,Lipton,Yellow Label,20 pkt,Tea,1.99,Done,Done,,
51,8690637035067,Lipton,Tarcin Karanfil ,20 pkt,Tea,1.99,Done,Done,,
52,8690637019562,Lipton,Yumusak Icimli,20 pkt,Tea,1.99,Done,Done,,
53,8690637055003,Lipton,Lipton Chamomile Herbal Tea,20 pkt,Tea,1.99,Done,Done,,
54,8692888621488,Lipton,Mango and Ananas,20 pkt,Tea,1.99,Done,Done,,
55,8692888621617,Lipton,Adacayi,20 pkt,Tea,1.99,Done,Done,Done,Done
56,8692888622836,Lipton,Zencefil Limon,20 pkt,Tea,1.99,Done,Done,,
57,8692888622027,Lipton,Sade/Classic Green Tea,20 pkt,Tea,1.99,Done,Done,,
58,8692888621457,Buhara,Biberiye Rosmary,80g,Tea,2.49,Done,Done,Done,Done
59,4311501608425,Buhara,Dag Kekigi Thyme ,50g,Tea,2.49,Done,Done,,
60,3850322011799,Buhara,Keten Tohumu,250g,Tea,2.49,Done,Done,,
61,3850322011775,Buhara,Ekinezya Cayi Echinacea,50g,Tea,2.49,Done,Done,,
62,5310005001465,Buhara,Civan Percemi Yarrow,70g,Tea,2.49,Done,Done,,
63,8682631803728,Buhara,Kis Cayi Winter Tea,100g,Tea,2.49,Done,Done,Done,Done
64,5411944362751,G&G,Bunter Fruchte Tea,25 Pkt,Tea ,1.49,Done,Done,,
65,5014176005320,Cedevita,Zitronengeschmack,200g,Tea ,2.49,Done,Done,,
66,6217000144021,Cedevita,Orangengeschmack,200g,Tea ,2.49,Done,Done,Done,Done
67,3901999000378,Vitaminka ,Cevitana Lemon Flavoured Vitamin Beverage,200g,Tea ,2.79,Done,Done,Done,
68,8690719112068,Ciloglu,Instant Drink with Lemon Flavored,200ml,Tea ,8.9,Done,Done,Done,Done
69,4032489010009,Oraleta,Sutlu Sahlep - Salep Drink with Milk,320g,Tea ,3.99,Done,Done,Done,Done
70,5201004021328,Sekeroglu,Salep Flavored Instant Drink,250g,Tea ,2.99,Done,Done,,
71,5201004020338,Drini Tee,Cylon Tea IQ Extra,500g,Tea ,4.99,Done,Done,Done,Done
72,8697415555526,Khatra ,Khadra Yerba Mate,250g,Tea,2.49,Done,Done,,
73,8697415554697,Extra Tea,No. 444 Tea,400g,Tea ,4.99,Done,Done,Done,Done
74,4260030345038,Dugus,Gurme Cay,1000g,Tea,6.99,Done,Done,,
75,4260030345014,Tanay,Ceylon Yaprak Cayi ,1000g,Tea,6.99,Done,Done,Done,Done
76,4260030345021,Papadopoulos,Caprice,115g,Sweets and Snacks,2.79,Done,Done,Done,Done
77,4260030345120,Papadopoulos,Caprice,400g,Sweets and Snacks,5.79,Done,Done,Done,
78,3850102322787,Lokmas ,Narli Lokum - Pomogranate Flavor,300g,Sweets and Snacks,2.49,Done,Done,Done,
79,3850102322862,Lokmas ,Meyvelikus Lokumu - Lemon Apple Flavored ,300g,Sweets and Snacks,2.49,Done,Done,Done,
80,3850102322923,Tandir,Findiki Lokumu - Hezulnut,400g,Sweets and Snacks,3.49,Done,Done,Done,
81,38501023220073,Tandir,Sade Lokum,400g,Sweets and Snacks,2.49,Done,Done,Done,
82,38501023220080,Tandir,Gullu Lokum - Rose Flavored,400g,Sweets and Snacks,2.49,Done,Done,Done,
83,3850102326150,Tandir,Narli Lokum - Pomogranate Flavor,400g,Sweets and Snacks,2.49,Done,Done,Done,
84,3850102522897,Kras,Napolitanke - Lemon Orange,330g,Sweets and Snacks,2.89,Done,Done,Done,
85,3850102230044,Kras,Napolitanke - Mocca,330g,Sweets and Snacks,2.89,Done,Done,Done,
86,3850102505883,Kras,Napolitanke - Hazelnut,330g,Sweets and Snacks,2.79,Done,Done,Done,
87,3850102513987,Kras,Napolitanke - Choco,500g,Sweets and Snacks,3.99,Done,Done,,
88,5411944315122,Kras,Napolitanke - Choco,250g,Sweets and Snacks,2.59,Done,Done,Done,
89,5411944369019,Kras,Napolitanke - Chocolate Cream,840g,Sweets and Snacks,4.99,Done,Done,Done,
90,5411944362690,Kras,Moto - Kakao,360g,Sweets and Snacks,2.79,Done,Done,Done,
91,3870004022455,Kras,Bajadera - Hazelnut,200g,Sweets and Snacks,4.49,Done,Done,Done,
92,3870004050182,Kras,Dorinas Milk Chocolate with Rice,220g,Sweets and Snacks,2.79,Done,Done,,
93,3870353001408,Kras,Dorinas Milk Chocolate with Rice,130g,Sweets and Snacks,1.99,Done,Done,,
94,8606103924018,Sebahat,Loukoum - Cevizli,400g,Sweets and Snacks,3.99,Done,Done,,
95,8606107488615,Sebahat,Loukoum - Mini Mix,400g,Sweets and Snacks,3.99,Done,Done,,
96,8606107488431,Sebahat,Loukoum - Nar Aromah Pomegranate Flavour,500g,Sweets and Snacks,2.29,Done,Done,Done ,
97,8606111221284,Klas,Vanili Kiflice,220g,Sweets and Snacks,1.99,Done,Done,,
98,8606111221307,Klas,Milk Roll,300g,Sweets and Snacks,2.49,Done,Done,Done,
99,5319990443762,Kent,Napolitanke - Ljesnjak,330g,Sweets and Snacks,2.99,Done,Done,Done,
100,5319990443861,Walz,Cream Rolls,250g,Sweets and Snacks,1.49,Done,Done,,
101,5319990443991,Waltz,Waltz Roll Strawberry,250g,Sweets and Snacks,1.99,Done,Done,,
102,5319990443502,Waltz,Waltz Roll Chocolate,250g,Sweets and Snacks,1.99,Done,Done,Done,
103,4260505993177,Waltz,Waltz Crunchy Roll Vanilla,250g,Sweets and Snacks,1.19,Done,Done,,
104,8602300201631,Waltz,Waltz Crunchy Roll Cocoa,250g,Sweets and Snacks,0.99,Done,Done,Done,
